nome;id;base;Calorias;Proteína;Carboidrato;Energia;Colesterol;Lipídeos;Fibra Alimentar;Vitamina C;Ferro;Cálcio;Sódio;Magnésio;Potássio;Manganês;Fósforo;Cobre;Zinco;Retinol;Tiamina;Riboflavina;Piridoxina;Niacina;RE;RAE;Umidade
Umbu, polpa, congelada;496;100;34;0,5;8,8;142.0;0;0,1;1,3;4;0,2;11;6;8;154;0,05;13;0,04;0,1;0;0;0,06;0;0;0;0;90,2
Uva, Itália, crua;435;100;53;0,7;13,6;221.0;0;0,2;0,9;3,3;0,1;7;0;5;162;0,13;12;0,11;0;0;0;0;0,03;0;5;5;85
Uva, Rubi, crua;460;100;49;0,6;12,7;205.0;0;0,2;0,9;1,9;0,2;8;8;6;159;0,07;23;0,05;0;0;0,02;0,02;0;0;0;0;86,1
Uva, suco concentrado, envasado;234;100;58;0;14,7;241.0;0;0;0,2;21;0,1;9;10;7;54;0,2;10;0,13;0,1;0;0,07;0,02;0,05;0;0;0;85,1
Vaca atolada;136;100;145;5,1;10,1;606.0;19;9,3;2,3;0;0,7;63;26;16;220;0,04;72;0,12;1,2;0;0;0;0;0,77;0;0;75
Vagem, crua;406;100;25;1,8;5,3;104.0;0;0,2;2,4;1,2;0,4;41;0;18;208;0,5;28;0,06;0,3;0;0;0,08;0;0;32;32;92,2
Vatapá;520;100;255;6;9,7;1066.0;44;23,2;1,7;0;1,4;47;880;39;209;0,48;108;0,28;0,9;0;0;0;0;1,8;0;0;58,4
Virado à paulista;55;100;307;10,2;14,1;1284.0;66;25,6;2,2;0;1,1;41;346;22;237;0,15;135;0,07;1;10;0,14;0,05;0;2,6;0;0;48,6
Yakisoba;253;100;113;7,5;18,3;472.0;0;2,6;1,1;0;0,6;14;794;13;159;0,15;83;0,06;0,7;0;0,16;0;0;2,09;62;62;69,4
Óleo, de babaçu;526;100;884;0;0;3699.0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Óleo, de canola;95;100;884;0;0;3699.0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Óleo, de girassol;135;100;884;0;0;3699.0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Óleo, de milho;196;100;884;0;0;3699.0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Óleo, de pequi;56;100;884;0;0;3699.0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Óleo, de soja;472;100;884;0;0;3699.0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
