nome;id;base;Calorias;Proteína;Carboidrato;Energia;Colesterol;Lipídeos;Fibra Alimentar;Vitamina C;Ferro;Cálcio;Sódio;Magnésio;Potássio;Manganês;Fósforo;Cobre;Zinco;Retinol;Tiamina;Riboflavina;Piridoxina;Niacina;RE;RAE;Umidade
Bolo, pronto, coco;484;100;333;5,7;52,3;1395.0;63;11,3;1,1;0;0,8;57;190;16;143;0,4;303;0,09;0,7;0;0,15;0,06;0;0;0;0;29,3
Bolo, pronto, milho;425;100;311;4,8;45,1;1303.0;82;12,4;0,7;0;0,7;83;134;10;118;0,11;128;0,04;0,4;57;0,11;0,05;0;0;0;0;36,7
Brócolis, cozido;54;100;25;2,1;4,4;103.0;0;0,5;3,4;42;0,5;51;2;15;119;0,12;33;0,08;0,2;0;0,04;0,03;0;0;0;0;92,6
Brócolis, cru;343;100;25;3,6;4;107.0;0;0,3;2,9;34,3;0,6;86;3;30;322;0,26;78;0,06;0,5;0;0,12;0,18;0,08;1,39;279;279;91,2
Cacau, cru;200;100;74;1;19,4;311.0;0;0,1;2,2;13,6;0,3;12;1;25;72;0,04;9;0,15;0,6;0;0,25;0;0,04;0;0;0;79,2
Café, infusão 10%;384;100;9;0,7;1,5;38.0;0;0,1;0;0;0;3;1;10;156;0,04;9;0,01;0;0;0;0;0;0;0;0;97,4
Café, pó, torrado;338;100;419;14,7;65,8;1752.0;0;11,9;51,2;0;8,1;107;1;165;1609;2,58;169;1,3;0,5;0;0;0;0;11,89;0;0;2,9
Caju, cru;547;100;43;1;10,3;180.0;0;0,3;1,7;219,3;0,2;1;3;10;124;0,12;16;0,07;0,1;0;0;0;0;0;15;15;88,1
Caju, polpa, congelada;458;100;37;0,5;9,4;153.0;0;0,2;0,8;119,7;0,1;1;4;7;88;0,05;10;0,07;0,1;0;0;0,02;0;2,25;22;22;89,8
Caju, suco concentrado, envasado;74;100;45;0,4;10,7;189.0;0;0,2;0,6;138,7;0,1;1;45;8;107;0,06;11;0,04;0,1;0;0;0,03;0;0;10;10;88,4
Cajá, polpa, congelada;8;100;26;0,6;6,4;110.0;0;0,2;1,4;0;0,3;9;7;7;148;0,07;26;0,1;0,1;0;0,04;0;0;0;106;106;92,4
Cajá-Manga, cru;245;100;46;1,3;11,4;191.0;0;0;2,6;26,7;0,2;13;1;11;119;0,05;24;0,02;0,2;0;0,11;0;0,05;0;0;0;86,9
Caldo de carne, tablete;190;100;241;7,8;15,1;1007.0;0;16,6;0,6;0;0;129;22180;22;218;0,02;123;0;0;0;0,7;0,07;0,27;0;0;0;2,9
Caldo de galinha, tablete;278;100;251;6,3;10,6;1052.0;2;20,4;11,8;0;0,7;16;22300;13;68;0,13;48;0;0,3;0;0,05;0,04;0;0;0;0;3,4
Camarão à baiana;339;100;101;7,9;3,2;422.0;117;6;0,4;4,1;1,4;43;85;15;139;0,11;244;0,07;0,5;0;0;0;0;0,31;0;0;82
Camarão, Rio Grande, grande, cozido;531;100;90;19;0;377.0;241;1;0;0;1,3;90;367;19;102;0,06;266;0,17;1,2;0;0;0;0;1,07;0;0;78,7
Camarão, Rio Grande, grande, cru;416;100;47;10;0;197.0;124;0,5;0;0;0,7;51;201;27;72;0,04;234;0,11;0,7;20;0;0;0;0;20;20;89,1
Camarão, Sete Barbas, sem cabeça, com casca, frito;533;100;231;18,4;2,9;968.0;283;15,6;0;0;2,4;960;99;74;107;0,38;337;0,19;1,1;0;0,05;0;0;0,35;0;0;61
Cana, caldo de;540;100;65;0;18,2;273.0;0;0;0,1;2,8;0,8;9;0;12;18;0,21;5;0,01;0,1;0;0;0;0,03;0;0;0;81,7
Canjica, branca, crua;61;100;358;7,2;78,1;1496.0;0;1;5,5;0;0,3;2;1;12;93;0,09;48;0,05;0,4;0;0;0;0;0;0;0;13,6
Canjica, com leite integral;299;100;112;2,4;23,6;471.0;1;1,2;1,2;0;0,1;43;28;6;70;0,02;41;0,03;0,3;0;0;0,04;0;0;0;0;72,5
Capuccino, pó;227;100;417;11,3;73,6;1746.0;29;8,6;2,4;0;2,3;467;382;71;886;0,17;358;0;1,1;52;0;1,41;0;0;0;0;2,6
Caqui, chocolate, cru;141;100;71;0,4;19,3;299.0;0;0,1;6,5;29,6;0,1;18;2;9;164;0,39;18;0;0,2;0;0;0;0,03;0;0;0;79,7
Carambola, crua;335;100;46;0,9;11,5;191.0;0;0,2;2;60,9;0,2;5;4;7;133;0,13;11;0,08;0,2;0;0,12;0;0;0;0;0;87,1
Caranguejo, cozido;428;100;83;18,5;0;346.0;85;0,4;0;0;2,9;357;360;52;186;0,07;154;0,72;5,7;0;0,04;0,31;0;4,17;0;0;77
Carne, bovina, acém, moído, cozido;462;100;212;26,7;0;889.0;103;10,9;0;0;2,7;4;52;17;256;0,01;164;0,06;8,1;0;0;0,32;0;1,76;0;0;61,6
Carne, bovina, acém, moído, cru;254;100;137;19,4;0;571.0;58;5,9;0;0;1,8;3;49;14;237;0;158;0,08;6,3;2;0,15;0,21;0,03;4,33;2;2;72,7
Carne, bovina, acém, sem gordura, cozido;341;100;215;27,3;0;898.0;107;10,9;0;0;2,4;7;56;14;254;0;164;0,07;8;0;0;0,04;0,07;1,63;0;0;60,4
Carne, bovina, acém, sem gordura, cru;219;100;144;20,8;0;603.0;53;6,1;0;0;1,5;5;50;13;234;0;144;0,04;5,2;2;0,12;0,12;0;2,33;2;2;71,5
Carne, bovina, almôndegas, cruas;482;100;189;12,3;9,8;792.0;34;11,2;0;0;1,6;22;621;24;328;0,17;145;0,15;2,3;0;0,11;0,04;0;2,2;0;0;64,3
Carne, bovina, almôndegas, fritas;379;100;272;18,2;14,3;1137.0;36;15,8;0;0;1,9;27;1030;48;536;0,41;244;0,19;2,6;0;0,13;0,07;0;6,6;0;0;48,1
Carne, bovina, bucho, cozido;349;100;133;21,6;0;557.0;245;4,5;0;0;0,6;13;38;7;70;0,01;63;0,05;2,5;0;0;0;0;2,18;0;0;74,1
Carne, bovina, bucho, cru;292;100;137;20,5;0;574.0;145;5,5;0;0;0,5;9;45;6;85;0,01;61;0,06;2,1;0;0;0;0;2,13;0;0;75
Carne, bovina, capa de contra-filé, com gordura, crua;45;100;217;19,2;0;908.0;63;15;0;0;1,5;6;58;17;267;0,01;144;0,06;3,5;4;0,09;0,09;0,12;1,55;4;4;64,8
Carne, bovina, capa de contra-filé, com gordura, grelhada;561;100;312;30,7;0;1304.0;120;20;0;0;2,6;7;81;18;323;0;214;0,13;6,2;0;0;0,06;0;1,74;0;0;47,9
Carne, bovina, capa de contra-filé, sem gordura, crua;58;100;131;21,5;0;548.0;58;4,3;0;0;2;6;79;20;325;0;178;0,06;4,6;0;0;0,04;0;1,81;0;0;73
Carne, bovina, capa de contra-filé, sem gordura, grelhada;139;100;239;35,1;0;1002.0;80;10;0;0;2,8;9;83;26;385;0,01;287;0,12;7,6;0;0,03;0,08;0;1,86;0;0;53,7
Carne, bovina, charque, cozido;296;100;263;36,4;0;1099.0;113;11,9;0;0;3,5;15;1443;13;90;0,02;101;0,07;6,1;0;0,05;0,07;0;1,5;0;0;45,8
Carne, bovina, charque, cru;44;100;249;22,7;0;1041.0;81;16,8;0;0;1,5;15;5875;13;236;0;122;0,03;3,9;0;0,12;0,07;0;1,63;0;0;44,5
Carne, bovina, contra-filé de costela, cru;163;100;202;19,8;0;847.0;52;13,1;0;0;1,6;3;39;14;245;0;164;0,04;4,4;3;0,14;0,08;0;2,68;3;3;66,4
Carne, bovina, contra-filé de costela, grelhado;49;100;275;29,9;0;1150.0;98;16,3;0;0;2,8;4;51;24;383;0,01;252;0,08;6,7;0;0;0,19;0,17;2,75;0;0;52,2
Carne, bovina, contra-filé, com gordura, cru;126;100;206;21,2;0;861.0;73;12,8;0;0;1,3;4;44;18;285;0,01;164;0,04;2,8;4;0,11;0,08;0,03;3,79;4;4;65,7
Carne, bovina, contra-filé, com gordura, grelhado;367;100;278;32,4;0;1163.0;144;15,5;0;0;2,4;4;57;19;352;0;219;0,09;4,8;0;0;0,18;0,13;4,91;0;0;51,7
Carne, bovina, contra-filé, sem gordura, cru;166;100;157;24;0;655.0;59;6;0;0;1,7;4;53;21;335;0;184;0,05;3,2;0;0;0,2;0;4,64;0;0;69,1
Carne, bovina, contra-filé, sem gordura, grelhado;323;100;194;35,9;0;810.0;102;4,5;0;0;2,4;5;58;21;386;0;241;0,09;5,1;0;0;0,17;0,16;4,93;0;0;57,5
Carne, bovina, contra-filé, à milanesa;411;100;352;20,6;12,2;1471.0;99;24;0,4;0;2,9;15;77;27;271;0,27;203;0,1;2,9;15;0,07;0,04;0;3,02;0;0;42,2
Carne, bovina, costela, assada;453;100;373;28,8;0;1561.0;95;27,7;0;0;2,2;28;92;20;270;0;179;0,08;5,5;0;0;0,08;0,35;0,56;0;0;43,2
Carne, bovina, coxão duro, sem gordura, cozido;280;100;217;31,9;0;906.0;71;8,9;0;0;1,7;4;41;14;252;0;189;0,07;5;2;0;0;0;3,26;2;2;58,5
Carne, bovina, coxão duro, sem gordura, cru;444;100;148;21,5;0;619.0;60;6,2;0;0;1,9;3;49;21;358;0;189;0,05;2,8;2;0,12;0,2;0;4,38;2;2;69,8
Carne, bovina, coxão mole, sem gordura, cozido;198;100;219;32,4;0;915.0;84;8,9;0;0;2,6;4;44;13;239;0;183;0,11;4,7;2;0;0;0;4,09;2;2;58
Carne, bovina, coxão mole, sem gordura, cru;235;100;169;21,2;0;707.0;84;8,7;0;0;1,9;3;61;21;335;0;175;0,05;2,6;3;0,12;0,19;0;2,32;3;3;68,6
Carne, bovina, cupim, assado;62;100;330;28,6;0;1381.0;91;23;0;0;2,7;8;72;18;321;0;212;0,08;5,3;0;0;0,08;0,14;2,16;0;0;48,4
Carne, bovina, cupim, cru;66;100;221;19,5;0;926.0;51;15,3;0;0;1,1;4;47;13;151;0;220;0,03;2,4;3;0,11;0,05;0,03;3,33;3;3;64,8
Carne, bovina, filé mingnon, sem gordura, cru;199;100;143;21,6;0;598.0;55;5,6;0;0;1,9;3;49;21;322;0,01;193;0,08;2,8;4;0,12;0,1;0,04;1,78;4;4;71,9
Carne, bovina, filé mingnon, sem gordura, grelhado;36;100;220;32,8;0;919.0;103;8,8;0;0;2,9;4;58;28;326;0,02;308;0,14;4,1;0;0,03;0,08;0,05;4,27;0;0;57
Carne, bovina, flanco, sem gordura, cozido;492;100;196;29,4;0;818.0;62;7,8;0;0;2,8;4;42;14;249;0;181;0,07;5,6;2;0;0;0;2,32;2;2;62
Carne, bovina, flanco, sem gordura, cru;148;100;141;20;0;592.0;50;6,2;0;0;1,6;3;54;18;324;0;167;0,05;4,5;2;0,11;0,16;0;3,28;2;2;72,1
Carne, bovina, fraldinha, com gordura, cozida;85;100;338;24,2;0;1416.0;65;26;0;0;2;3;39;14;207;0;161;0,07;6,5;0;0;0,05;0,07;1,61;0;0;49,7
Carne, bovina, fraldinha, com gordura, crua;443;100;221;17,6;0;924.0;54;16,1;0;0;1,5;3;51;16;274;0;131;0,04;4,2;5;0,08;0,07;0,03;3,56;5;5;65,4
Carne, bovina, fígado, cru;1;100;141;20,7;1,1;590.0;393;5,4;0;0;5,6;4;76;12;265;0,26;334;9,01;3,5;7937;0,14;0,9;0;10,66;7937;7937;71,3
Carne, bovina, fígado, grelhado;72;100;225;29,9;4,2;942.0;601;9;0;0;5,8;6;82;10;309;0,22;420;12,58;4;14574;0,21;2,69;0;11,92;14574;14574;55
Carne, bovina, lagarto, cozido;490;100;222;32,9;0;931.0;56;9,1;0;0;1,9;4;48;13;254;0;167;0,05;7;3;0;0;0;2,55;3;3;57,6
Carne, bovina, lagarto, cru;114;100;135;20,5;0;564.0;56;5,2;0;0;1,3;3;54;20;362;0;185;0,05;2,4;2;0,1;0,14;0,03;2,19;2;2;71
Carne, bovina, língua, cozida;0;100;315;21,4;0;1318.0;105;24,8;0;0;2,1;6;59;12;175;0,01;136;0,08;4,1;0;0;0,08;0;1,83;0;0;53,4
Carne, bovina, língua, crua;222;100;215;17,1;0;901.0;118;15,8;0;0;1,7;5;73;15;251;0,02;164;0,09;2,9;0;0,05;0,04;0;1,18;0;0;65
Carne, bovina, maminha, crua;264;100;153;20,9;0;639.0;51;7;0;0;1,1;3;37;16;274;0;181;0,03;3,5;3;0,12;0,08;0,03;4,27;3;3;70
Carne, bovina, maminha, grelhada;293;100;153;30,7;0;641.0;88;2,4;0;0;2,4;4;58;21;386;0;237;0,08;5,6;0;0;0,04;0,13;1,46;0;0;65,3
Carne, bovina, miolo de alcatra, sem gordura, cru;334;100;163;21,6;0;681.0;60;7,8;0;0;2;3;43;20;299;0,01;165;0,06;3;4;0,12;0,07;0;3,59;4;4;69,5
Carne, bovina, miolo de alcatra, sem gordura, grelhado;186;100;241;31,9;0;1010.0;92;11,6;0;0;3,2;5;52;26;385;0,02;279;0,11;4,8;0;0,03;0,05;0,05;4,66;0;0;52,4
Carne, bovina, músculo, sem gordura, cozido;491;100;194;31,2;0;811.0;56;6,7;0;0;2,4;5;62;13;253;0;176;0,08;6,4;2;0;0;0;1,97;2;2;62,8
Carne, bovina, músculo, sem gordura, cru;86;100;142;21,6;0;592.0;51;5,5;0;0;1,9;4;66;17;296;0;162;0,05;3,7;2;0,09;0,19;0,04;2,79;2;2;72,4
Carne, bovina, paleta, com gordura, crua;354;100;159;21,4;0;664.0;58;7,5;0;0;1,8;4;65;14;250;0;158;0,08;3,7;0;0;0,04;0,02;0,91;0;0;70,6
Carne, bovina, paleta, sem gordura, cozida;47;100;194;29,7;0;810.0;56;7,4;0;0;2,2;6;58;18;250;0;197;0,1;6,8;0;0,03;0,04;0;2,16;0;0;62,9
Carne, bovina, paleta, sem gordura, crua;325;100;141;21;0;590.0;42;5,7;0;0;1,9;4;66;18;319;0;163;0,05;3,3;3;0,13;0,21;0;2,67;3;3;72,1
Carne, bovina, patinho, sem gordura, cru;149;100;133;21,7;0;558.0;56;4,5;0;0;1,8;3;49;20;318;0,01;170;0,05;4,5;2;0,11;0,08;0;3,61;2;2;72,9
Carne, bovina, patinho, sem gordura, grelhado;505;100;219;35,9;0;917.0;126;7,3;0;0;3;5;60;27;421;0,02;289;0,12;8,1;0;0,04;0,03;0;3,01;0;0;55,2
Carne, bovina, peito, sem gordura, cozido;274;100;338;22,2;0;1416.0;100;27;0;0;1,6;4;56;14;204;0;136;0,05;3,9;0;0;0,3;0;4,54;0;0;51,2
Carne, bovina, peito, sem gordura, cru;124;100;259;17,6;0;1085.0;59;20,4;0;0;1,3;4;64;15;241;0;124;0,06;2,6;4;0,11;0,07;0,03;3,91;4;4;61,5
Carne, bovina, picanha, com gordura, crua;415;100;213;18,8;0;891.0;60;14,7;0;0;1,7;2;38;14;232;0;165;0,06;3,8;3;0,13;0,16;0;4,77;3;3;65,6
Carne, bovina, picanha, com gordura, grelhada;537;100;289;26,4;0;1208.0;92;19,5;0;0;3,2;4;60;24;355;0;246;0,14;5,5;0;0,03;0,06;0,13;1,6;0;0;53,4
Carne, bovina, picanha, sem gordura, crua;501;100;134;21,3;0;559.0;75;4,7;0;0;2,1;3;61;20;322;0;183;0,08;4,2;0;0;0,05;0;1,89;0;0;72,4
Carne, bovina, picanha, sem gordura, grelhada;93;100;238;31,9;0;998.0;100;11,3;0;0;3,6;4;61;25;377;0,02;282;0,17;6,7;0;0;0,08;0,03;1,82;0;0;54,6
Carne, bovina, seca, cozida;420;100;313;26,9;0;1309.0;100;21,9;0;0;1,9;13;1943;12;86;0,02;82;0,03;7,7;0;0;0,06;0;2,32;0;0;47,2
Carne, bovina, seca, crua;276;100;313;19,7;0;1309.0;92;25,4;0;0;1,3;14;4440;12;190;0,01;100;0;3,7;0;0;0,07;0;2,83;0;0;39,2
Caruru, cru;329;100;34;3,2;6;142.0;0;0,6;4,5;5,4;4,5;455;14;197;279;0,89;77;0,37;6;0;0;0,1;0,11;0;1906;1906;87,6
Cará, cozido;143;100;78;1,5;18,9;325.0;0;0,1;2,6;0;0,3;5;1;15;203;0,02;28;0,11;0,2;0;0,12;0;0,12;0;0;0;78,9
Cará, cru;525;100;96;2,3;23;400.0;0;0,1;7,3;8,8;0,2;4;0;11;212;0,01;35;0,06;0,2;0;0,11;0;0,02;0;0;0;73,7
Castanha-de-caju, torrada, salgada;449;100;570;18,5;29,1;2386.0;0;46,3;3,7;0;5,2;33;125;237;671;1,59;594;1,92;4,7;0;0,29;0,05;0,39;0;0;0;3,5
Castanha-do-Brasil, crua;106;100;643;14,5;15,1;2690.0;0;63,5;7,9;0;2,3;146;1;365;651;1,1;853;1,79;4,2;0;0,3;0;0,44;0;0;0;3,5
Catalonha, crua;30;100;24;1,9;4,8;100.0;0;0,3;2;7,3;3,1;57;9;17;412;0,34;32;0,27;0,5;0;0;0,03;0,36;1,54;0;0;91,8
Catalonha, refogada;184;100;63;2;4,8;265.0;0;4,8;3,7;0;1,2;63;25;16;452;0,64;35;0,18;0,4;0;0,04;0;0,03;0,6;850;850;87,4
Cação, posta, com farinha de trigo, frita;88;100;208;25;3,1;872.0;75;10;0,5;0;1;30;160;26;420;0,06;462;0;0,6;17;0;0;0;0,77;17;17;60,6
Cação, posta, cozida;232;100;116;25,6;0;485.0;83;0,7;0;0;0,3;10;115;21;249;0;204;0,03;0,6;12;0;0,04;0;9,77;12;12;75,9
Cação, posta, crua;15;100;83;17,9;0;349.0;36;0,8;0;0;0,2;9;176;19;299;0,04;181;0,13;0,3;6;0,04;0;0;1,31;6;6;81,4
Cebola, crua;562;100;39;1,7;8,9;165.0;0;0,1;2,2;4,7;0,2;14;1;12;176;0,13;38;0,05;0,2;0;0,04;0;0,14;0;0;0;88,9
Cebolinha, crua;441;100;20;1,9;3,4;82.0;0;0,4;3,6;31,8;0,6;80;2;25;206;0,13;27;0,04;0,3;0;0,03;0,04;0,08;0;134;134;93,9
Cenoura, cozida;351;100;30;0,8;6,7;125.0;0;0,2;2,6;0;0,1;26;8;14;176;0,05;27;0,02;0,2;0;0,07;0;0,06;2,68;612;612;91,7
Cenoura, crua;512;100;34;1,3;7,7;143.0;0;0,2;3,2;5,1;0,2;23;3;11;315;0,05;28;0,05;0,2;0;0;0;0,05;0;1326;1326;90,1
Cereais, milho, flocos, com sal;255;100;370;7,3;80,8;1546.0;0;1,6;5,3;0;0,5;2;272;20;69;0;91;0;0,6;0;0,12;0;0,06;0;0;0;9,3
Cereais, milho, flocos, sem sal;69;100;363;6,9;80,4;1520.0;0;1,2;1,8;0;1,7;2;31;17;29;0;58;0,24;0,3;0;0,05;0;0,04;0;0;0;11,2
Cereais, mingau, milho, infantil;390;100;394;6,4;87,3;1650.0;0;1,1;3,2;109,4;3;219;399;16;82;0,11;169;0,04;0,4;21;3,72;0,47;5,08;24,16;0;0;4,7
Cereais, mistura para vitamina, trigo, cevada e aveia;383;100;381;8,9;81,6;1595.0;0;2,1;5;13,1;12,6;584;1163;72;244;2,28;515;0,21;2;0;0,76;0,88;1,49;7,46;0;0;4,4
Cereal matinal, milho;212;100;365;7,2;83,8;1529.0;0;1;4,1;17,3;3,1;143;655;11;83;0,06;101;0,06;7,6;0;0,76;1,02;2,25;11,04;31;31;5,5
Cereal matinal, milho, açúcar;90;100;377;4,7;88,8;1576.0;0;0,7;2,1;14,6;3,9;56;405;8;52;0,13;43;0,04;8,5;0;0,73;1,11;0,79;10,13;31;31;4,3
Cerveja, pilsen 2;175;100;41;0,6;3,3;170.0;0;0;0;0;0;5;4;7;29;0,01;19;0;0;0;0;0;0,14;2,92;0;0;92,4
Chantilly, spray, com gordura vegetal;502;100;315;0,5;16,9;1318.0;0;27,3;0;0;0;2;110;1;5;0;16;0,01;0,1;0;0,07;0;0;0;0;0;55,1
Charuto, de repolho;307;100;78;6,8;10,1;327.0;21;1,1;1,5;4,8;0,9;23;12;13;184;0,22;68;1,45;1,8;0;0,03;0;0;0,32;0;0;81,5
Chicória, crua;220;100;14;1,1;2,9;58.0;0;0,1;2,2;6,5;0,5;45;14;14;425;0,13;13;0,04;0,1;0;0,03;0,1;0;0,68;0;0;95,1
Chocolate, ao leite;290;100;540;7,2;59,6;2258.0;17;30,3;2,2;0;1,6;191;77;57;355;0,3;212;0,31;1,1;0;0,05;0,22;0,59;0,63;0;0;1,3
Chocolate, ao leite, com castanha do Pará;193;100;559;7,4;55,4;2338.0;16;34,2;2,5;1,4;1,5;171;64;80;431;0,36;303;0,45;1,3;36;0,04;0,24;0;1,37;0;0;1,2
Chocolate, ao leite, dietético;455;100;557;6,9;56,3;2330.0;13;33,8;2,8;2;3,3;188;85;67;458;0,41;276;0,43;1,1;7;0,31;0,25;0;0,79;0;0;1,7
Chocolate, meio amargo;579;100;475;4,9;62,4;1987.0;2;29,9;4,9;2,1;3,6;45;9;107;432;0,83;220;0,77;1,5;0;0,2;0,04;0;1,06;0;0;1
Chuchu, cozido;176;100;19;0,4;4,8;78.0;0;0;1;5,6;0,1;8;2;7;54;0,07;13;0;0,1;0;0,03;0;0;0;0;0;94,6
Chuchu, cru;225;100;17;0,7;4,1;71.0;0;0,1;1,3;10,6;0,2;12;0;7;126;0,08;18;0,03;0,1;0;0;0;0;0;0;0;94,8
Chá, erva-doce, infusão 5%;317;100;1;0;0,4;6.0;0;0;0;0;0;2;1;1;10;0,01;1;0,01;0;0;1,23;0,23;0;0;0;0;99,6
Chá, preto, infusão 5%;267;100;2;0;0,6;9.0;0;0;0;0;0;0;0;1;13;0,09;2;0;0;0;3,11;0,48;0;0;0;0;99,4
Ciriguela, crua;286;100;76;1,4;18,9;316.0;0;0,4;3,9;27;0,4;27;2;18;248;0,06;49;0,12;0,5;0;0,14;0;0;0;0;0;78,7
Cocada branca;144;100;449;1,1;81,4;1878.0;0;13,6;3,6;0;1,2;7;29;17;183;0,36;396;0,2;0,4;0;0;0;0,16;0,47;0;0;3,4
Coco, cru;575;100;406;3,7;10,4;1701.0;0;42;5,4;2,5;1,8;6;15;51;354;1;118;0,45;0,9;0;0;0;0,03;0;0;0;43
Coco, água de;289;100;22;0;5,3;90.0;0;0;0,1;2,4;0;19;2;5;162;0,25;4;0;0;0;0,01;0;0;0;0;0;94,3
Coentro, folhas desidratadas;159;100;309;20,9;48;1293.0;0;10,4;37,3;40,8;81,4;784;18;393;3223;10,48;388;4,09;4,7;0;0,1;0,11;0,09;0;0;0;10,6
Corimba, cru;427;100;128;17,4;0;536.0;40;6;0;0;0,5;40;47;23;317;0,02;190;0,03;0,4;0;0;0;0;1,87;0;0;75,6
Corimbatá, assado;125;100;261;19,9;0;1094.0;80;19,6;0;0;1;22;40;24;326;0,01;221;0,03;0,7;0;0,13;0,06;0;2,7;0;0;59,9
Corimbatá, cozido;478;100;239;20,1;0;999.0;75;16,9;0;0;0,6;65;37;23;254;0,02;185;0,05;1;0;0;0;0;2,09;0;0;64,6
Corvina de água doce, crua;571;100;101;18,9;0;423.0;73;2,2;0;0;0,3;39;45;25;293;0,02;154;0,02;0,4;8;0;0,08;0;0;8;8;79,2
Corvina grande, assada;479;100;147;26,8;0;613.0;117;3,6;0;0;0,5;60;85;24;291;0,03;176;0,02;0,7;0;0,11;0,1;0;4,23;0;0;69
Corvina grande, cozida;569;100;100;23,4;0;419.0;123;2,6;0;0;0,6;69;68;22;194;0,02;164;0,03;0,7;6;0;0,03;0;0,77;6;6;73,6
Couve, manteiga, crua;375;100;27;2,9;4,3;113.0;0;0,5;3,1;96,7;0,5;131;6;35;403;1,02;49;0,06;0,4;0;0,2;0,31;0,06;2,29;496;496;90,9
Couve, manteiga, refogada;91;100;90;1,7;8,7;378.0;0;6,6;5,7;76,9;0,5;177;11;26;315;0,12;33;0,02;0,2;0;0;0,05;0,07;0;384;384;81,5
Couve-flor, cozida;167;100;19;1,2;3,9;80.0;0;0,3;2,1;23,7;0,1;16;2;5;80;0,1;25;0;0,3;0;0,04;0;0;0;0;0;94,3
Couve-flor, crua;57;100;23;1,9;4,5;94.0;0;0,2;2,4;36,1;0,5;18;3;12;256;0,16;57;0,03;0,3;0;0,03;0,09;0,1;0;2;2;92,8
Coxinha de frango, frita;328;100;283;9,6;34,5;1184.0;15;11,8;5;0;1,3;18;532;17;166;0,28;93;0,09;0,5;0;0,09;0;0;2,6;0;0;42,2
Creme de Leite;423;100;221;1,5;4,5;927.0;66;22,5;0;0;0,3;83;52;8;119;0,01;118;0,02;0,3;128;0;0,1;0;0;0;0;70,9
Creme de arroz, pó;194;100;386;7;83,9;1615.0;0;1,2;1,1;0;0,6;7;1;51;115;1,24;153;0,04;1,9;0;0,22;0;0,05;0;0;0;7,3
Creme de milho, pó;130;100;333;4,8;86,1;1393.0;0;1,6;3,7;96,3;4,3;323;594;30;166;0,2;303;0,04;0,8;0;0,74;0;2,05;0;0;0;5,7
Croquete, de carne, cru;277;100;246;12;13,9;1028.0;30;15,6;0;0;2,5;15;711;24;221;0,34;144;0,1;2,7;0;0,11;0,04;0;1,95;0;0;56
Croquete, de carne, frito;252;100;347;16,9;18,1;1451.0;38;22,7;0;0;2,3;18;916;30;313;0,39;176;0,09;3,3;0;0,14;0,04;0;4,77;0;0;39,2
Cupuaçu, cru;434;100;49;1,2;10,4;207.0;0;1;3,1;24,5;0,5;13;3;18;331;0,07;21;0,07;0,3;0;0,37;0,04;0,07;4,34;0;0;86,2
Cupuaçu, polpa, congelada;214;100;49;0,8;11,4;204.0;0;0,6;1,6;10,5;0,3;5;1;14;291;0,17;14;0,14;0,2;0;0,07;0,07;0,05;0;0;0;86,6
Curau, milho verde;544;100;78;2,4;13,9;328.0;5;1,6;0,5;0;0,4;53;21;16;162;0,06;75;0,03;0,4;12;0,04;0,07;0;0;20;20;81,6
Curau, milho verde, mistura para;208;100;402;2,2;79,8;1683.0;0;13,4;2,5;0;0,9;31;223;9;55;0,05;45;0,03;0,2;0;0,13;0;0;0;0;0;3,9
Cuscuz, de milho, cozido com sal;392;100;113;2,2;25,3;475.0;0;0,7;2,1;0;0,2;2;248;3;11;0,02;23;0;0,2;0;0;0;0,06;0;0;0;71,1
Cuscuz, paulista;65;100;142;2,6;22,5;595.0;15;4,6;2,4;0;0,3;14;236;5;53;0,06;26;0,05;0,2;0;0;0;0;0,93;0;0;68,9
Cuxá, molho;19;100;80;5,6;5,7;335.0;58;3,6;3;10,3;0,9;105;1344;34;124;0,23;111;0,17;0,6;0;0,04;0;0,03;1,1;33;33;81
Dobradinha;152;100;125;19,8;0;521.0;144;4,4;0;0;1;11;29;8;58;0,11;57;0,06;2,7;0;0;0;0;4,27;0;0;75,3
Doce, de abóbora, cremoso;497;100;199;0,9;54,6;832.0;0;0,2;2,3;0,1;0,9;13;0;6;137;0,01;14;0;0;0;0,08;0;0,04;0;0;0;43,9
Doce, de leite, cremoso;380;100;306;5,5;59,5;1282.0;20;6;0;0;0,1;195;120;16;259;0,01;141;0,02;0,5;36;0,05;0,26;0;0;36;36;27,5
Dourada de água doce, fresca;560;100;131;18,8;0;549.0;52;5,6;0;0;0,2;12;40;26;393;0,01;189;0,02;0,5;0;0;0;0;3,7;0;0;76,2
Empada de frango, pré-cozida, assada;529;100;358;6,9;47,5;1499.0;23;15,6;2,2;0;1,2;16;525;18;138;0,32;78;0,07;0,6;0;0,12;0;0;0;0;0;28,2
Empada, de frango, pré-cozida;142;100;377;7,3;35,5;1579.0;23;22,9;2,2;0;0,7;14;771;17;156;0,25;78;0,09;0,5;0;0,11;0;0,03;0;0;0;32
Ervilha, em vagem;183;100;88;7,5;14,2;367.0;0;0,5;9,7;12,4;1,4;24;0;42;311;0,4;152;0,2;1,2;0;0,27;0,07;0,06;1,16;0;0;76,8
Ervilha, enlatada, drenada;372;100;74;4,6;13,4;309.0;0;0,4;5,1;0;1,4;22;372;23;147;0,46;79;0,14;0,9;0;0,07;0,03;0;0;9;9;80,1
